                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3568,                 1.0536,                 1.4495,                0.73294,                 0.6567,                  0.648,                0.39009,                 1.3495,                  1.036,                 1.4873,              5.831e-05,              5.831e-05,              5.831e-05
                      2,                 1.2186,                0.78626,                 1.2556,                0.76367,                0.77393,                0.67998,                0.39293,                 1.3651,                0.92331,                 1.4277,             0.00012371,             0.00012371,             0.00012371
                      3,                  1.152,                0.73414,                  1.198,                0.77181,                0.78598,                0.68947,                0.40166,                 1.3451,                0.91342,                 1.3811,              0.0001878,              0.0001878,              0.0001878
                      4,                 1.0952,                0.65216,                 1.1279,                0.77763,                 0.7802,                0.69667,                0.40482,                 1.2833,                0.97254,                 1.3843,             0.00025056,             0.00025056,             0.00025056
                      5,                 1.1087,                0.61485,                 1.1363,                0.77304,                0.77031,                0.66718,                0.40589,                  1.318,                 1.0445,                 1.4015,             0.00031201,             0.00031201,             0.00031201
                      6,                 1.1754,                0.68617,                 1.2111,                0.62595,                0.83688,                0.58926,                0.33436,                 1.3062,                 4.1768,                 1.3806,             0.00037213,             0.00037213,             0.00037213
                      7,                 1.0833,                0.61533,                 1.1539,                0.70304,                0.72772,                0.67848,                0.41332,                 1.2665,                  1.188,                  1.354,             0.00043094,             0.00043094,             0.00043094
                      8,                 1.0758,                0.61572,                  1.151,                0.68985,                0.77015,                0.68347,                0.40073,                 1.2751,                 1.1478,                 1.3703,             0.00048842,             0.00048842,             0.00048842
                      9,                  1.098,                0.61548,                 1.1535,                0.74741,                0.75656,                0.71603,                0.43159,                 1.2964,                 1.1481,                 1.3847,             0.00054459,             0.00054459,             0.00054459
                     10,                 1.0446,                0.59107,                 1.1314,                0.78084,                0.74944,                0.69455,                0.41741,                 1.2858,                 1.0697,                 1.3984,             0.00059944,             0.00059944,             0.00059944
                     11,                 1.0584,                0.60896,                 1.1372,                0.79983,                0.76613,                0.71452,                0.42143,                 1.3009,                 1.1303,                 1.4028,             0.00065296,             0.00065296,             0.00065296
                     12,                 1.0544,                0.60047,                  1.122,                0.80587,                0.73269,                 0.7198,                0.43586,                 1.2882,                 1.0539,                 1.3852,             0.00070517,             0.00070517,             0.00070517
                     13,                 1.0852,                0.59729,                 1.1353,                0.76995,                0.78328,                0.73034,                0.45185,                 1.2597,                 0.9816,                 1.3518,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.0549,                0.59398,                 1.1065,                0.71151,                0.77097,                0.69233,                0.39257,                 1.3401,                  1.233,                 1.4052,             0.00073404,             0.00073404,             0.00073404
